Nombre,Descripción,Tipo de Dato
FECHA_ULTIMA_COTIZACION,Indica fecha de la última cotización del cliente.,Date Time
NACIONALIDAD,País de origen del cliente.,Varchar
RATING,Indica la expectativa de compra que tenemos sobre este cliente.,Varchar
RUT_REPRESENTANTE_LEGAL_TRES,"Indica RUT del representante legal 3, del cliente Persona Jurídica.",Varchar
EMAIL_2,Indica dirección de email secundaria del cliente.,Varchar
PAIS_REPRESENTANTE_LEGAL,"Indica país al que pertenece la dirección detallada del representante
  legal 1.",Varchar
ESTADO_CIVIL,"Estado civil del cliente (Soltero, casado, etc)",Varchar
COMUNA_REPRESENTANTE_LEGAL_TRES,Indica comuna de la dirección detallada del representante legal 3.,Varchar
NUM_EXTERIOR,Indica numeración externa de la calle donde declara dirección.,Varchar
WEB_FRASE, Dato asociado a pagos web del cliente.,Varchar
PROFESION,Profesión del cliente.,Varchar
NACIONALIDAD_REPRESENTANTE_LEGAL,"Indica Nacionalidad del representante legal 1, del cliente Persona
  Jurídica.",Varchar
ROS,"Indica si el cliente aplica como ROS (Reporte de Operaciones Sospechosas)
  o no.",Boolean
RAZON_SOCIAL,"Detalla el nombre de la razón social del cliente, cuando es persona
  Jurídica.",Varchar
DIRECCION_REPRESENTANTE_LEGAL_DOS,Detalla dirección del representante legal 2.,Varchar
TIPO_COMPRADOR,Indica si es persona natural o inversionista.,Varchar
COMUNA,Comuna a la que pertenece la residencia del cliente.,Varchar
PROFESION_REPRESENTANTE_LEGAL_TRES,"Indica profesión del representante legal 3, del cliente Persona Jurídica.",Varchar
PAIS,País donde reside el cliente.,Varchar
RANGO_EDAD,Rango al que pertenece la edad que el cliente posee.,Varchar
ESTADO_CIVIL_REPRESENTANTE_LEGAL_DOS,"Indica estado civil del representante legal 2, del cliente Persona
  Jurídica.",Varchar
GRUPO_FAMILIAR,"Indica rango de cantidad de personas que componen su grupo familiar
  primario.",Varchar
CIUDAD_REPRESENTANTE_LEGAL_DOS,Indica ciudad de la dirección detallada del representante legal 2.,Varchar
PEP,"Indica si el cliente aplica como PEP (Persona Expuesta Politicamente) o
  no.",Boolean
INDEPENDIENTE_TIPO_CARGO,Detalla actividad o cargo que desempeña en forma independiente.,Varchar
NOMBRE_REPRESENTANTE_LEGAL_DOS,"Indica Nombre del representante legal 2, del cliente Persona Jurídica.",Varchar
CIUDAD_REPRESENTANTE_LEGAL_TRES,Indica ciudad de la dirección detallada del representante legal 3.,Varchar
VERSION,Indicador para desarrolladores a la hora de realizar alguna modificación.,Integer
PAIS_REPRESENTANTE_LEGAL_DOS,"Indica país al que pertenece la dirección detallada del representante
  legal 2.",Varchar
