Nombre,Tipo de Dato,Descripción
MISMA_DIRECCION_PERSONA_JURIDICA_REPRESENTANTE_LEGAL,Boolean,Indica si tiene la misma dirección de la PJ a la que representa o no.
DIRECCION_REPRESENTANTE_LEGAL,Varchar,"Detalla dirección del representante legal 1, en caso que no coincida con
  la del cliente PJ."
CIUDAD_REPRESENTANTE_LEGAL,Varchar,Indica ciudad de la dirección detallada del representante legal 1.
COMUNA_REPRESENTANTE_LEGAL,Varchar,Indica comuna de la dirección detallada del representante legal 1.
PAIS_REPRESENTANTE_LEGAL,Varchar,"Indica país al que pertenece la dirección detallada del representante
  legal 1."
ORIGEN,Varchar,"Cómo ingresó a la BD de MobySuite (Importación, MS, etc)"
ID_TOKI,Integer,Identificador único del cliente en Toky.
ID_HUBSPOT,Integer,Identificador único del cliente en Hubspot.
VERSION,Integer,Indicador para desarrolladores a la hora de realizar alguna modificación.
EMAIL_2,Varchar,Indica dirección de email secundaria del cliente.
INGRESOS_ARRIENDO,Decimal,"Indica los ingresos que el cliente posea por arriendos de sus
  propiedades."
MENSAJE_PROMESA_ARGENTA,Boolean,"Indica si la promesa va o no con esa cláusula (aplica sólo al cliente
  Argenta)."
RUT_REPRESENTANTE_LEGAL_DOS,Varchar,"Indica RUT del representante legal 2, del cliente Persona Jurídica."
NOMBRE_REPRESENTANTE_LEGAL_DOS,Varchar,"Indica Nombre del representante legal 2, del cliente Persona Jurídica."
NACIONALIDAD_REPRESENTANTE_LEGAL_DOS,Varchar,"Indica Nacionalidad del representante legal 2, del cliente Persona
  Jurídica."
ESTADO_CIVIL_REPRESENTANTE_LEGAL_DOS,Varchar,"Indica estado civil del representante legal 2, del cliente Persona
  Jurídica."
PROFESION_REPRESENTANTE_LEGAL_DOS,Varchar,"Indica profesión del representante legal 2, del cliente Persona Jurídica."
DIRECCION_REPRESENTANTE_LEGAL_DOS,Varchar,Detalla dirección del representante legal 2.
CIUDAD_REPRESENTANTE_LEGAL_DOS,Varchar,Indica ciudad de la dirección detallada del representante legal 2.
COMUNA_REPRESENTANTE_LEGAL_DOS,Varchar,Indica comuna de la dirección detallada del representante legal 2.
PAIS_REPRESENTANTE_LEGAL_DOS,Varchar,"Indica país al que pertenece la dirección detallada del representante
  legal 2."
RUT_REPRESENTANTE_LEGAL_TRES,Varchar,"Indica RUT del representante legal 3, del cliente Persona Jurídica."
NOMBRE_REPRESENTANTE_LEGAL_TRES,Varchar,"Indica Nombre del representante legal 3, del cliente Persona Jurídica."
NACIONALIDAD_REPRESENTANTE_LEGAL_TRES,Varchar,"Indica Nacionalidad del representante legal 3, del cliente Persona
  Jurídica."
ESTADO_CIVIL_REPRESENTANTE_LEGAL_TRES,Varchar,"Indica estado civil del representante legal 3, del cliente Persona
  Jurídica."
PROFESION_REPRESENTANTE_LEGAL_TRES,Varchar,"Indica profesión del representante legal 3, del cliente Persona Jurídica."
DIRECCION_REPRESENTANTE_LEGAL_TRES,Varchar,Detalla dirección del representante legal 3.
CIUDAD_REPRESENTANTE_LEGAL_TRES,Varchar,Indica ciudad de la dirección detallada del representante legal 3.
COMUNA_REPRESENTANTE_LEGAL_TRES,Varchar,Indica comuna de la dirección detallada del representante legal 3.
PAIS_REPRESENTANTE_LEGAL_TRES,Varchar,"Indica país al que pertenece la dirección detallada del representante
  legal 3."
ID_EMPRESA,Integer,Identificador único del elemento empresa
RENTA_REAL,Varchar,Indica la renta real del cliente
MEDIO_INFORMACION_INGRESO,BigInt,Indica el medio por el cual el cliente ingreso
